protein1,protein2,weight
NDUFB11,MT-CO1,0.867
TAF4,TADA2B,0.867
STAT1,TLR4,0.867
IL1R1,TLR2,0.867
RPS9,POLR2B,0.867
MT-ND4L,COX5A,0.867
TLR4,IL17A,0.867
NCBP1,SNRNP40,0.867
COX5A,MT-ND4L,0.867
MUS81,RAD51C,0.867
MT-CO3,NDUFA13,0.867
MT-ND2,UQCR11,0.867
CCNB1,PCNA,0.867
TADA2B,TAF4,0.867
CSF2RB,PTPN11,0.867
PCNA,CCNB1,0.867
IFNG,TLR7,0.867
SNRPC,LSM6,0.867
GSK3B,SRC,0.867
MRTO4,NOL10,0.867
BUD31,LSM2,0.867
PSMB10,PSMD13,0.867
PTPN11,CSF2RB,0.867
UQCR11,MT-ND2,0.867
MRPS14,RPL8,0.867
IL17A,ITGAX,0.867
DSP,CDH5,0.867
CDH5,DSP,0.867
AKT1,EZH2,0.867
RPL37,DDX18,0.867
SRC,GSK3B,0.867
POLR2B,RPS9,0.867
CDK2,TFDP1,0.867
CACNA1D,CACNG2,0.867
IL17A,TLR4,0.867
NOL10,MRTO4,0.867
POLR2B,INTS4,0.867
NDUFB9,MT-CO3,0.867
FGFR2,MDM2,0.867
RAD23B,PSMC5,0.867
EZH2,AKT1,0.867
PSMC5,RAD23B,0.867
RSL24D1,RPS3A,0.867
LSM2,BUD31,0.867
TLR7,IRAK2,0.867
RPS14,POLR2F,0.867
TLR7,IFNG,0.867
PSMA8,PSMD11,0.867
CWC27,SNRNP40,0.867
MT-CO1,NDUFB11,0.867
INTS4,POLR2B,0.867
IL12B,IFNGR1,0.867
SOX2,GATA4,0.867
RPL8,MRPS14,0.867
MT-CO3,NDUFB9,0.867
POLR2F,RPS14,0.867
SF3A1,SNRNP70,0.867
NDUFA13,MT-CO3,0.867
IFNGR1,IL12B,0.867
TLR2,IL1R1,0.867
SNRNP40,CWC27,0.867
SNRNP40,NCBP1,0.867
MRPS10,RPL22,0.866
FLT1,CSF1,0.866
SKIV2L,RPS20,0.866
H3BNC9_HUMAN,MRPS15,0.866
CCNA2,CCNE2,0.866
MT-CO3,NDUFS6,0.866
EIF3H,RPS17,0.866
HCFC1,SIN3A,0.866
RPL3,POLR1C,0.866
RPL3,POLR2C,0.866
RPF2,RPL7,0.866
POLR1C,RPL3,0.866
MRPS14,POLR2C,0.866
RPL22,MRPS10,0.866
EIF2S1,KRR1,0.866
LSM2,PLRG1,0.866
LSM5,NCBP1,0.866
CSF1,FLT1,0.866
PLRG1,LSM2,0.866
RPTOR,HIF1A,0.866
MRPS11,RPL8,0.866
KRR1,EIF2S1,0.866
SMG5,NCBP1,0.866
POLR2C,MRPS14,0.866
NUP43,RFC4,0.866
UQCRFS1,IFNGR2,0.866
NCBP1,SMG5,0.866
EMG1,RPS17,0.866
NDUFS6,MT-CO3,0.866
IMP3,POLR2B,0.866
GPI,BCKDHB,0.866
RFC4,NUP43,0.866
PRR5,AKT1S1,0.866
IGF1,FGFR2,0.866
FGFR2,IGF1,0.866
IFNGR2,UQCRFS1,0.866
DHX16,ISY1-RAB43,0.866
POLR2C,RPL3,0.866
MRPS15,H3BNC9_HUMAN,0.866
FANCB,PALB2,0.866
FANCG,ERCC1,0.866
NCBP1,LSM5,0.866
BCKDHB,GPI,0.866
POLR2B,IMP3,0.866
DEPTOR,BTRC,0.866
RPL7,RPF2,0.866
RPS17,EIF3H,0.866
COX7C,MT-ND2,0.866
ERCC1,FANCG,0.866
SIN3A,HCFC1,0.866
MT-ND2,COX7C,0.866
RPL21,NIP7,0.866
PALB2,FANCB,0.866
RPL8,MRPS11,0.866
ISY1-RAB43,DHX16,0.866
BTRC,DEPTOR,0.866
CCNE2,CCNA2,0.866
RPS20,SKIV2L,0.866
HIF1A,RPTOR,0.866
NIP7,RPL21,0.866
RPS17,EMG1,0.866
AKT1S1,PRR5,0.866
IL1B,TLR7,0.865
KDR,CRK,0.865
PSMA8,POMP,0.865
HSPD1,LY96,0.865
RPL4,SRPRB,0.865
NCBP2,NELFB,0.865
IMP3,POLR3B,0.865
PALB2,FANCG,0.865
KAT2B,SMAD2,0.865
AKT1,CCM2,0.865
FANCG,PALB2,0.865
GNG2,GNA12,0.865
H3-2,H3-4,0.865
RSL1D1,RPL26,0.865
H3-3B,RNF2,0.865
TRRAP,TTI1,0.865
SLU7,NCBP2,0.865
SF3B4,GPKOW,0.865
BCAR1,SHC1,0.865
CCND2,CCNL2,0.865
SRPRB,RPL4,0.865
TLR7,IL1B,0.865
RPS21,BTF3,0.865
POMP,PSMA8,0.865
TTI1,TRRAP,0.865
SHC1,BCAR1,0.865
RAD23B,PSMD6,0.865
DDX18,RPL35A,0.865
RPF2,IMP3,0.865
IFNG,IL6ST,0.865
HDAC1,TBP,0.865
FOXP3,ITGAE,0.865
BTF3,RPS21,0.865
IMP3,RPF2,0.865
NDUFS5,COX7A1,0.865
SF3B2,PPIL1,0.865
PSMD6,RAD23B,0.865
H3BNC9_HUMAN,MRPS9,0.865
RNF2,H3C13,0.865
CCNL2,CCND2,0.865
FN1,ITGAX,0.865
POLR1C,RPS13,0.865
RPL35A,DDX18,0.865
COX7A1,NDUFS5,0.865
GPKOW,SF3B4,0.865
ITGAE,FOXP3,0.865
RPS13,POLR1C,0.865
IL10,STAT1,0.865
CCM2,AKT1,0.865
NDUFS6,COX7A1,0.865
SMAD2,KAT2B,0.865
CACNA1D,RYR1,0.865
IL6ST,IFNG,0.865
ITGAX,STAT1,0.865
LY96,HSPD1,0.865
PPIL1,SF3B2,0.865
CRK,KDR,0.865
COX7A1,NDUFS6,0.865
POLR3B,IMP3,0.865
ITGAX,FN1,0.865
RPL10,RSL24D1,0.865
STAT1,IL10,0.865
MRPS9,H3BNC9_HUMAN,0.865
H3-4,H3-2,0.865
CDK4,CKS1B,0.865
NELFB,NCBP2,0.865
GNA12,GNG2,0.865
RYR1,CACNA1D,0.865
CKS1B,CDK4,0.865
TBP,HDAC1,0.865
NCBP2,SLU7,0.865
RPL26,RSL1D1,0.865
STAT1,ITGAX,0.865
RSL24D1,RPL10,0.865
RNF2,H3-3B,0.865
H3C13,RNF2,0.865
IL10RA,TNF,0.864
CDC20,RANBP2,0.864
TNFRSF1A,EGFR,0.864
RPL3,RPF2,0.864
APP,SRC,0.864
RPS6KB1,RRAGA,0.864
MRPS5,POLR2B,0.864
NDUFB1,MT-CO1,0.864
CYC1,NDUFC1,0.864
RHEB,RPS6,0.864
EIF3CL,RPS8,0.864
RPL9,NIFK,0.864
WDR46,RPL4,0.864
RPL24,SNU13,0.864
NIFK,RPL9,0.864
RPLP0,SNU13,0.864
IL1B,AKT1,0.864
BCL10,RELA,0.864
RAD51C,WRN,0.864
RPS8,EIF3CL,0.864
SNU13,RPL24,0.864
EIF3CL,RPS7,0.864
RAD17,RAD52,0.864
MT-CO3,NDUFB4,0.864
RPL7,EIF2S3,0.864
RPL18,WDR74,0.864
SRC,APP,0.864
AKT1,IL1B,0.864
JAK1,IFNA17,0.864
SNRNP70,NUDT21,0.864
TNF,IL10RA,0.864
RPL34,NIP7,0.864
UTP3,BOP1,0.864
RRAGA,RPS6KB1,0.864
VTN,IGFBP3,0.864
H3-4,YEATS4,0.864
RELA,BCL10,0.864
RPS7,EIF3CL,0.864
POLR2B,MRPS5,0.864
IL10RB,IFNB1,0.864
RPL15,STT3A,0.864
IFNA17,JAK1,0.864
RELA,STAT1,0.864
DEPDC5,RRAGD,0.864
STT3A,RPL15,0.864
COX6A1,NDUFA12,0.864
RAE1,NUP133,0.864
FANCE,RSL24D1,0.864
RSL24D1,UTP3,0.864
EIF2S3,RPL7,0.864
SNU13,RPLP0,0.864
YEATS4,H3-4,0.864
RPL8,EIF2S1,0.864
RSL24D1,FANCE,0.864
EGFR,TNFRSF1A,0.864
RPL36A,MRPS10,0.864
RPL9,EFTUD2,0.864
NDUFB4,MT-CO3,0.864
RANBP2,CDC20,0.864
IFNB1,IL10RB,0.864
UTP3,RSL24D1,0.864
MT-CO1,NDUFB1,0.864
IGFBP3,VTN,0.864
RPL34,NIFK,0.864
EIF2S1,RPL8,0.864
STAT1,RELA,0.864
MRPS10,RPL36A,0.864
NUP133,RAE1,0.864
NDUFA12,COX6A1,0.864
WDR74,RPL18,0.864
WRN,RAD51C,0.864
BOP1,UTP3,0.864
RPF2,RPL3,0.864
NIFK,RPL34,0.864
NUDT21,SNRNP70,0.864
RRAGD,DEPDC5,0.864
RPL4,WDR46,0.864
RAD52,RAD17,0.864
RPS6,RHEB,0.864
NDUFC1,CYC1,0.864
EFTUD2,RPL9,0.864
NIP7,RPL34,0.864
AP2A2,EGFR,0.863
RPS9,POLR3B,0.863
POLR1C,BRF2,0.863
BRF2,POLR1C,0.863
FANCE,RPS4X,0.863
POLR2E,NIP7,0.863
RRP7A,RPL4,0.863
MT-CO3,NDUFB6,0.863
SNRNP40,SRRM1,0.863
CAMK2A,CACNA1C,0.863
RPL4,RRP7A,0.863
SRRM1,SNRNP40,0.863
CDC40,MTREX,0.863
DAP3,H3BNC9_HUMAN,0.863
RAE1,KLRK1,0.863
RPS4X,FANCE,0.863
CASP3,CFLAR,0.863
RPS23,MRPS35,0.863
H3BNC9_HUMAN,MRPS35,0.863
RPL7,SRPRB,0.863
KLRK1,RAE1,0.863
MTREX,WDR43,0.863
EP300,E2F4,0.863
SRPRB,RPL7,0.863
CACNA1C,CAMK2A,0.863
GTPBP4,RPL36A,0.863
MTREX,MPHOSPH10,0.863
ERCC4,WRN,0.863
WRN,ERCC4,0.863
WDR43,MTREX,0.863
MRPS35,H3BNC9_HUMAN,0.863
CFLAR,CASP3,0.863
RPL36A,GTPBP4,0.863
LSM3,SNRPC,0.863
GNG4,GNG13,0.863
POLR2B,MRPS10,0.863
H3BNC9_HUMAN,DAP3,0.863
IFNL1,IFNG,0.863
CPSF3,SNRPE,0.863
RPL10,MRTO4,0.863
MPHOSPH10,MTREX,0.863
E2F4,EP300,0.863
SNRPE,CPSF3,0.863
NIP7,POLR2E,0.863
EFTUD2,RPS23,0.863
NAT10,NIFK,0.863
SNRPC,LSM3,0.863
NIFK,NAT10,0.863
MRTO4,SRP54,0.863
NDUFB6,MT-CO3,0.863
MTREX,CDC40,0.863
GNG13,GNG4,0.863
MRTO4,RPL10,0.863
POLR3B,RPS9,0.863
IFNG,IFNL1,0.863
MT-CO1,NDUFA11,0.863
RPS23,EFTUD2,0.863
EIF2S2,RPL4,0.863
EGFR,AP2A2,0.863
SRP54,MRTO4,0.863
NDUFA11,MT-CO1,0.863
MRPS35,RPS23,0.863
RPL4,EIF2S2,0.863
MRPS10,POLR2B,0.863
SNW1,LSM5,0.862
RPS15,EIF3CL,0.862
RPL37,WDR74,0.862
RBM8A,SNRPB,0.862
GLDC,ALDH4A1,0.862
CSF1R,ITGB2,0.862
SF3B5,PPIL1,0.862
LSM10,PRPF8,0.862
ITGB2,CSF1R,0.862
ALDH4A1,GLDC,0.862
RBBP7,RB1,0.862
DAP3,RPL11,0.862
SF3A3,LSM10,0.862
KDR,IGF2,0.862
FANCG,RAD51,0.862
RAD51,FANCG,0.862
ERBB4,APOE,0.862
LSM2,NCBP1,0.862
H3BNC9_HUMAN,MRPS11,0.862
MRPS11,H3BNC9_HUMAN,0.862
LSM5,SNW1,0.862
ITGB2,VTN,0.862
SELL,FOXP3,0.862
H3-4,MLLT1,0.862
CDK1,CASP3,0.862
MRPS10,POLR3B,0.862
POLR3B,MRPS10,0.862
FAU,KRR1,0.862
RUVBL1,NPM1,0.862
NDUFB7,MT-CO3,0.862
NCBP1,LSM2,0.862
RB1,RBBP7,0.862
MT-CO3,NDUFB7,0.862
AGO2,EDC4,0.862
CXCL5,IL6,0.862
ERCC2,H3C13,0.862
RRP7A,RPF2,0.862
NDUFA6,COX7A2,0.862
CASP3,CDK1,0.862
IL6,CXCL5,0.862
PSMB9,USP14,0.862
SKP1,CUL5,0.862
NELFB,INTS4,0.862
DDB1,ERCC2,0.862
EDC4,AGO2,0.862
UBC,BRCC3,0.862
FAAP20,FANCI,0.862
RPL11,DAP3,0.862
APOE,ERBB4,0.862
ERCC2,DDB1,0.862
POLR2A,CNOT7,0.862
VTN,ITGB2,0.862
NPM1,RUVBL1,0.862
MLLT1,H3-4,0.862
BRCC3,UBC,0.862
CUL5,SKP1,0.862
PPIL1,SF3B5,0.862
YJU2,RNF113A,0.862
CNOT7,POLR2A,0.862
INTS4,NELFB,0.862
WDR74,RPL37,0.862
MAP3K7,DR1,0.862
COX7A1,NDUFA7,0.862
EIF3CL,RPS15,0.862
LSM10,SF3A3,0.862
CCNA2,TFDP1,0.862
DR1,MAP3K7,0.862
IGF2,KDR,0.862
COX7A2,NDUFA6,0.862
SNRPB,RBM8A,0.862
FANCI,FAAP20,0.862
NDUFA7,COX7A1,0.862
FOXP3,SELL,0.862
USP14,PSMB9,0.862
TAF6,KAT14,0.862
KRR1,FAU,0.862
TFDP1,CCNA2,0.862
DDX23,SF3B4,0.862
KAT14,TAF6,0.862
RPF2,RRP7A,0.862
H3C13,ERCC2,0.862
RNF113A,YJU2,0.862
PRPF8,LSM10,0.862
SF3B4,DDX23,0.862
TSR2,NGDN,0.861
SMU1,SNRNP40,0.861
SRRT,SNRPF,0.861
IFNA2,IL3RA,0.861
CDC42,CDH1,0.861
PSMB10,PSMD1,0.861
MRTO4,SRPRA,0.861
TRAF6,STUB1,0.861
CREBBP,CCND3,0.861
IL1B,NLRP1,0.861
IRAK1,LY96,0.861
IL10RA,STAT1,0.861
RSPO1,EGF,0.861
PPIL1,SF3B1,0.861
SLU7,PPIE,0.861
EIF2S3,RPL5,0.861
MAGOH,BUD31,0.861
CAMK2A,CACNA1D,0.861
INTS7,POLR2B,0.861
DDX6,LSM2,0.861
NDUFA6,MT-CO3,0.861
RPLP0,POLR2B,0.861
RPL28,SRP54,0.861
SNRNP40,SMU1,0.861
MRTO4,EEF2,0.861
SF3B1,PPIL1,0.861
RPF2,NGDN,0.861
MT-ND2,COX7A1,0.861
SNRPF,SRRT,0.861
ITGA4,ITGAX,0.861
RPLP0,SRPRA,0.861
MT-CO3,NDUFA6,0.861
POLR3B,RPS20,0.861
POLR3B,MRPS5,0.861
SRPRA,RPLP0,0.861
CCND1,BRCA2,0.861
CDH1,CDC42,0.861
RPS15,COX4I1,0.861
FADD,TLR4,0.861
CPSF3,SNRPG,0.861
DDX18,UTP4,0.861
SRPRA,MRTO4,0.861
RPS27A,RELA,0.861
WDR74,RPL9,0.861
TLR4,FADD,0.861
EFTUD2,RPLP0,0.861
POLR2B,RPLP0,0.861
NLRP1,IL1B,0.861
RBBP7,CUL4A,0.861
SRP54,RPL28,0.861
STAT1,IL10RA,0.861
RB1,EZH2,0.861
NGDN,TSR2,0.861
RPL9,WDR74,0.861
GPI,F5H5P2_HUMAN,0.861
SNRPG,CPSF3,0.861
RPL5,EIF2S3,0.861
IL3RA,IFNA2,0.861
MT-CO3,NDUFA3,0.861
COX7A1,MT-ND2,0.861
P4HB,APOB,0.861
LSM2,DDX6,0.861
EGF,RSPO1,0.861
CACNA1D,CAMK2A,0.861
RPLP0,EFTUD2,0.861
CTNNB1,DSP,0.861
UTP4,DDX18,0.861
BRCA2,RPA2,0.861
COX4I1,RPS15,0.861
POLR2B,INTS7,0.861
DLGAP1,NLGN4X,0.861
RPA2,BRCA2,0.861
RPS20,POLR3B,0.861
RPL37,MDM2,0.861
NLGN4X,DLGAP1,0.861
H3C13,BARD1,0.861
NDUFA3,MT-CO3,0.861
APOB,P4HB,0.861
BUD31,MAGOH,0.861
IFNG,LTA,0.861
F5H5P2_HUMAN,GPI,0.861
NELFB,INTS5,0.861
RELA,RPS27A,0.861
CCND3,CREBBP,0.861
LTA,IFNG,0.861
STUB1,TRAF6,0.861
STUB1,AKT1,0.861
EZH2,RB1,0.861
BRCA2,CCND1,0.861
EDC4,LSM4,0.861
INTS5,NELFB,0.861
AKT1,STUB1,0.861
LY96,IRAK1,0.861
LSM4,EDC4,0.861
CUL4A,RBBP7,0.861
MRPS5,POLR3B,0.861
BARD1,H3C13,0.861
PPIE,SLU7,0.861
ITGAX,ITGA4,0.861
NGDN,RPF2,0.861
DSP,CTNNB1,0.861
PSMD1,PSMB10,0.861
EEF2,MRTO4,0.861
MDM2,RPL37,0.861
RPL21,SNU13,0.86
NDUFA12,MT-CO3,0.86
EXOC5,CTNNB1,0.86
RSL1D1,RPL15,0.86
SNU13,RPL21,0.86
EFTUD2,UBL5,0.86
FAU,FBL,0.86
TOP3A,XRCC3,0.86
PRPF38A,SNRNP40,0.86
GPKOW,SF3B5,0.86
RPL19,NIP7,0.86
COX7C,MT-ND4,0.86
EPHA2,CRK,0.86
SRRM1,XAB2,0.86
CTNNB1,ACTB,0.86
MYC,SIRT1,0.86
CRK,EPHA2,0.86
RACK1,SRP54,0.86
LTA,IL1B,0.86
RSL1D1,RPS14,0.86
PTPRC,IL6,0.86
CTNNB1,EXOC5,0.86
RPL19,SRPRA,0.86
RAD51,PARP1,0.86
CD27,IFNG,0.86
NCBP2,UPF3A,0.86
FANCD2,XPA,0.86
FBL,FAU,0.86
NCBP1,MFAP1,0.86
RPL23,NDUFAB1,0.86
NIP7,RPL19,0.86
SRPRA,RPL19,0.86
NDUFA3,MT-CO1,0.86
NOL6,PES1,0.86
XAB2,SRRM1,0.86
XRCC3,TOP3A,0.86
NSA2,NOP58,0.86
RBM15,METTL4,0.86
RPL32,NIFK,0.86
RPL13,EIF2S1,0.86
ARNT,ELOB,0.86
CDKN1B,CCNB2,0.86
BCL2,SRC,0.86
BTF3,RPS25,0.86
SF3B5,GPKOW,0.86
ACTB,CTNNB1,0.86
EIF2S1,RPL13,0.86
TGFA,KIT,0.86
NDUFB2,UQCRC2,0.86
XPA,FANCD2,0.86
TRAF6,EGFR,0.86
XRCC3,ERCC1,0.86
SNRNP40,PRPF38A,0.86
KIT,IGF1,0.86
UQCRC2,NDUFB2,0.86
ERCC1,XRCC3,0.86
LSM2,NCBP2,0.86
MFAP1,NCBP1,0.86
UBL5,EFTUD2,0.86
IGF1,KIT,0.86
MT-CO1,NDUFA3,0.86
CCNB2,CDKN1B,0.86
METTL4,RBM15,0.86
CCNE1,CDK5,0.86
RPS25,BTF3,0.86
CDK5,CCNE1,0.86
SIRT1,MYC,0.86
ELOB,ARNT,0.86
IFNG,CD27,0.86
MT-CO3,NDUFA12,0.86
RPS14,RSL1D1,0.86
IL1B,LTA,0.86
NIFK,RPL32,0.86
NOP58,NSA2,0.86
RPL4,BYSL,0.86
RPL15,RSL1D1,0.86
PES1,NOL6,0.86
SRC,BCL2,0.86
EGFR,TRAF6,0.86
NDUFAB1,RPL23,0.86
UPF3A,NCBP2,0.86
NCBP2,LSM2,0.86
PARP1,RAD51,0.86
KIT,TGFA,0.86
MT-ND4,COX7C,0.86
BYSL,RPL4,0.86
IL6,PTPRC,0.86
SRP54,RACK1,0.86
FANCI,MUS81,0.859
BLM,RAD51C,0.859
RPL21,NIFK,0.859
MUS81,FANCI,0.859
NFKBIA,IRAK2,0.859
GLI1,STAT3,0.859
STAT3,GLI1,0.859
MT-ND4,COX7A1,0.859
EGFR,CALM3,0.859
H3C12,POLR2A,0.859
RPL14,MRPS5,0.859
MT-CO3,NDUFA5,0.859
EP300,EP400,0.859
NOP14,RPS27,0.859
JAK2,IFNLR1,0.859
TAF1,TAF5L,0.859
VEGFB,FGFR2,0.859
FGFR2,VEGFB,0.859
EIF2S3,RPL9,0.859
EIF2S3,RPL11,0.859
RAD51C,BLM,0.859
HAUS7,UCHL5,0.859
POLR2C,POLR3D,0.859
RPL11,EIF2S3,0.859
POLR2A,H3C12,0.859
METTL3,ERCC3,0.859
KAT2B,ACTB,0.859
POLR2F,SNRPD2,0.859
COX7C,TOMM7,0.859
TOMM7,COX7C,0.859
CXCL11,CX3CL1,0.859
MRPS5,RPL14,0.859
RPL9,EIF2S3,0.859
UCHL5,HAUS7,0.859
RPS27,NOP14,0.859
NDUFS4,MT-CO2,0.859
MT-CO2,NDUFS4,0.859
WDR74,RPL32,0.859
ERCC3,METTL3,0.859
CX3CL1,CXCL11,0.859
COX7A1,NDUFB10,0.859
CD34,ITGA2B,0.859
CDC42,ARHGEF12,0.859
EP400,EP300,0.859
NUP133,NXF1,0.859
NDUFA10,MT-CO2,0.859
SNRPD2,POLR2F,0.859
RPS27,MRTO4,0.859
NXF1,NUP133,0.859
COX7A1,MT-ND4,0.859
ITGA2B,CD34,0.859
TAF5L,TAF1,0.859
MT-CO2,NDUFA10,0.859
POLR3B,RPS2,0.859
NIFK,RPL21,0.859
ARHGEF12,CDC42,0.859
RPS2,POLR3B,0.859
NDUFA5,MT-CO3,0.859
MRTO4,RPS27,0.859
CALM3,EGFR,0.859
ACTB,KAT2B,0.859
IFNLR1,JAK2,0.859
NDUFB10,COX7A1,0.859
POLR3D,POLR2C,0.859
IRAK2,NFKBIA,0.859
NCBP2,SNW1,0.859
RPL32,WDR74,0.859
SNW1,NCBP2,0.859
BRCA1,TINF2,0.858
TBP,POLR1C,0.858
POLR1C,MRPS14,0.858
ERCC1,FANCL,0.858
MAPK1,CDKN1B,0.858
POLR2K,BDP1,0.858
SRC,HSPA4,0.858
EMG1,FAU,0.858
CALM3,SRC,0.858
BCAS2,CWC27,0.858
RPL9,RSL1D1,0.858
SF3B3,PPIE,0.858
POLR1C,TBP,0.858
IL3,IFNA2,0.858
MRPS14,POLR1C,0.858
DHX16,SNRNP40,0.858
SRC,CALM3,0.858
H3-2,TBP,0.858
RPS6KB1,RRAGC,0.858
DDB1,RBBP4,0.858
RPL11,STT3A,0.858
CWC15,RBM8A,0.858
MDM2,NCL,0.858
RELA,TBP,0.858
EIF2S1,RPL11,0.858
RRAGC,RPS6KB1,0.858
TBP,H3-4,0.858
FBL,RPL11,0.858
RMI2,RAD51,0.858
PTK2,WASL,0.858
NCL,MDM2,0.858
PXN,ITGAV,0.858
HSP90AB1,CASP3,0.858
IL23A,IL6,0.858
MFAP1,RBM22,0.858
RB1,BRCA1,0.858
TBP,H3-2,0.858
RBM22,MFAP1,0.858
SEM1,PSMC2,0.858
RSL1D1,RPL9,0.858
SNU13,RPL34,0.858
COX7A1,MT-ND3,0.858
TAPBP,WDR46,0.858
RBM8A,CWC15,0.858
H3-5,TBP,0.858
RPL34,SNU13,0.858
GCSH,NDUFAB1,0.858
CASP3,HSP90AB1,0.858
INTS11,POLR2B,0.858
RBBP4,DDB1,0.858
RPS29,POLR2C,0.858
IFNA2,IL3,0.858
RBMX2,UBL5,0.858
RAD51,RMI2,0.858
CWC27,BCAS2,0.858
PSMC2,SEM1,0.858
TBP,RELA,0.858
POLR2B,INTS11,0.858
KAT14,TAF5,0.858
FANCL,ERCC1,0.858
TAF5,KAT14,0.858
HSPA4,SRC,0.858
CDKN1B,MAPK1,0.858
POLR2C,RPS29,0.858
STT3A,RPL11,0.858
BDP1,POLR2K,0.858
RPL11,EIF2S1,0.858
IL6,IL23A,0.858
WASL,PTK2,0.858
SNRNP40,DHX16,0.858
ITGAV,PXN,0.858
BRCA1,RB1,0.858
PTPN11,CSF1R,0.858
WDR46,TAPBP,0.858
CSF1R,PTPN11,0.858
H3-4,TBP,0.858
FAU,EMG1,0.858
RPL11,FBL,0.858
NDUFAB1,GCSH,0.858
PPIE,SF3B3,0.858
UBL5,RBMX2,0.858
RPS6,GAPDH,0.858
TBP,H3-5,0.858
MT-ND3,COX7A1,0.858
TINF2,BRCA1,0.858
GAPDH,RPS6,0.858
IL3RA,JAK1,0.857
POLR1C,RPL26,0.857
MAP3K7,SGF29,0.857
NIFK,RPL37,0.857
DEPTOR,HSPA4,0.857
RPS3,SKIV2L,0.857
RPL37,NIFK,0.857
UBE2M,CUL5,0.857
RPS10,MRPS14,0.857
NOP58,FAU,0.857
CUL5,UBE2M,0.857
PXN,CDC42,0.857
HSPA4,DEPTOR,0.857
UBL5,SF3A1,0.857
CD1B,IL10,0.857
UMPS,CYB5R3,0.857
AQR,CWC27,0.857
IL6R,EGF,0.857
TBL3,DKC1,0.857
DICER1,MRPS9,0.857
CWC27,AQR,0.857
FAU,NOP58,0.857
PSMB10,PSMD3,0.857
DKC1,HSP90AB1,0.857
CNOT8,POLR2A,0.857
RPL6,EIF3H,0.857
POLR2D,WDR61,0.857
POLR3B,TBL3,0.857
RPS5,POLR2B,0.857
INTS11,POLR2E,0.857
SNU13,RPL18A,0.857
NACA,RPSA,0.857
NDUFB5,MT-CO3,0.857
IL10,CD1B,0.857
SRPRA,RPL31,0.857
SKIV2L,RPS3,0.857
JAK1,IL3RA,0.857
UBA52,NDUFA5,0.857
MRPS14,RPS10,0.857
POLR2B,RPS5,0.857
SF3B4,NCBP1,0.857
SF3A1,UBL5,0.857
H3C13,TAF4,0.857
HSP90AB1,DKC1,0.857
NDUFA5,UBA52,0.857
RPL26,POLR2C,0.857
WDR61,POLR2D,0.857
POLR1C,RPS29,0.857
NPM1,HSPA4,0.857
COX7A1,NDUFB1,0.857
RPL18A,SNU13,0.857
EZH2,ASH2L,0.857
NCBP1,SF3B4,0.857
DKC1,TBL3,0.857
RPL26,POLR1C,0.857
CDC42,PXN,0.857
RPS29,POLR1C,0.857
TAF4,H3C13,0.857
NOTCH4,AKT1,0.857
POLR2E,INTS11,0.857
POLR2A,CNOT8,0.857
HSPA4,NPM1,0.857
RPL31,SRPRA,0.857
RPL17,DAP3,0.857
RPSA,NACA,0.857
SGF29,MAP3K7,0.857
CYB5R3,UMPS,0.857
EIF3H,RPL6,0.857
PSMD3,PSMB10,0.857
MRPS9,DICER1,0.857
AKT1,NOTCH4,0.857
MT-CO3,NDUFB5,0.857
POLR2C,RPL26,0.857
EGF,IL6R,0.857
DAP3,RPL17,0.857
ASH2L,EZH2,0.857
NDUFB1,COX7A1,0.857
TBL3,POLR3B,0.857
RPF2,EMG1,0.856
CD34,CXCL12,0.856
TLR3,TLR9,0.856
POLR3F,POLR2B,0.856
HSP90AA1,RPS3,0.856
SNX1,SNX3,0.856
H3-5,H3-4,0.856
CDC6,CCNL2,0.856
NANOG,SMAD2,0.856
CDH1,ERBB3,0.856
UBE2N,CARD11,0.856
POLR2B,POLR3F,0.856
SRP54,FAU,0.856
NPRL3,C12orf66,0.856
ITGB1,CDH1,0.856
IFNB1,TIRAP,0.856
CXCL12,CD34,0.856
MRPS15,RPL4,0.856
TLR9,TLR3,0.856
MTREX,FBL,0.856
MT-CO3,NDUFB10,0.856
ZYX,SRC,0.856
NDUFB10,MT-CO3,0.856
CDH1,ITGB1,0.856
FBL,MTREX,0.856
RPL35,SNU13,0.856
CCNL2,CDC6,0.856
POU5F1,SIN3A,0.856
BRCA1,RMI2,0.856
TLR7,IFNL1,0.856
H3C12,H3-5,0.856
RPS19,SRP54,0.856
IL24,IL10,0.856
RPL4,MRPS15,0.856
SEC13,RPTOR,0.856
INTS7,PPP2R1A,0.856
C12orf66,NPRL3,0.856
RPTOR,SEC13,0.856
PPP2R1A,INTS7,0.856
NPM1,BRCA2,0.856
ERBB3,CDH1,0.856
KRR1,RPS17,0.856
NUP153,NCBP2,0.856
BRCA2,NPM1,0.856
SMAD2,NANOG,0.856
SRP54,RPS19,0.856
PARP1,CDKN1A,0.856
TIRAP,IFNB1,0.856
UBA52,KMT2A,0.856
H3-4,H3-5,0.856
COX6A1,NDUFB9,0.856
POLR2C,NELFE,0.856
TADA2B,DR1,0.856
NELFE,POLR2C,0.856
CDKN1A,PARP1,0.856
KMT2A,UBA52,0.856
DR1,TADA2B,0.856
IL10,IL24,0.856
SIN3A,POU5F1,0.856
SNX3,SNX1,0.856
IFNL1,TLR7,0.856
CARD11,UBE2N,0.856
RPS17,KRR1,0.856
SNU13,RPL35,0.856
H3-5,H3C12,0.856
NDUFB9,COX6A1,0.856
